ก.	k @@ 
ภริยา	ph a r i j aa 
ภักดี	ph a k^ d ii 
ภัย	ph a j^ 
ภัยพิบัติ	ph a j^ ph i b a t^ 
ภาค	ph aa k^ 
ภาคภูมิใจ	ph aa k^ ph uu m^ c a j^ 
ภาคเหนือ	ph aa k^ n vva 
ภาพ	ph aa p^ 
ภาพถ่าย	ph aa p^ th aa j^ 
ภาพพจน์	ph aa p^ ph o t^ 
ภาพยนตร์	ph aa p^ ph a j o n^ 
ภายนอก	ph aa j^ n @@ k^ 
ภายหน้า	ph aa j^ n aa 
ภายหลัง	ph aa j^ l a ng^ 
ภายใต้	ph aa j^ t aa j^ 
ภายใน	ph aa j^ n a j^ 
ภารกิจ	ph aa r a k i t^ 
ภาระ	ph aa r a 
ภาวะ	ph aa w a 
ภาษา	ph aa s aa 
ภาษาศาสตร์	ph aa s aa s aa t^ 
ภาษี	ph aa s ii 
ภิกษุ	ph i k^ s u 
ภู	ph uu 
ภูธร	ph oo th @@ n^ 
ภูธร	ph uu th @@ n^ 
ภูมิ	ph uu m^ 
ภูมิธรรม	ph uu m^ th a m^ 
ภูมิปัญญา	ph uu m^ p a n^ j aa 
ภูมิพล	ph uu m i ph o n^ 
ภูมิภาค	ph uu m^ m i ph aa k^ 
ภูมิภาค	ph uu m i ph aa k^ 
ภูมิศาสตร์	ph uu m i s aa t^ 
ภูมิหลัง	ph uu m^ l a ng^ 
ภูมิแพ้	ph uu m^ ph xx 
ภูมิใจ	ph uu m^ c a j^ 
ภูเขา	ph uu kh a w^ 
ม.	m @@ 
มกราคม	m a k a r aa kh o m^ 
มงกุฎเกล้า	m o ng^ k u t^ kl aa w^ 
มงคล	m o ng^ kh o n^ 
มณเฑียรบาล	m o n^ th iia n^ b aa n^ 
มติ	m a t i 
มนตรี	m o n^ tr ii 
มนต์ขลัง	m o n^ khl a ng^ 
มนัส	m a n a t^ 
มนุษยชน	m a n u t^ s a j a ch o n^ 
มนุษยชาติ	m a n u t^ s a j a ch aa t^ 
มนุษยสัมพันธ์	m a n u t^ s a j a s a m^ ph a n^ 
มนุษย์	m a n u t^ 
มรดก	m @@ r a d o k^ 
มรรคผล	m a k^ ph o n^ 
มลทิน	m o n^ th i n^ 
มลพิษ	m o n^ l a ph i t^ 
มลภาวะ	m o n^ l a ph aa w a 
มวล	m uua n^ 
มวลชน	m uua n^ ch o n^ 
มหัศจรรย์	m a h a t^ s a c a n^ 
มหา	m a h aa 
มหาชน	m a h aa ch o n^ 
มหาดไทย	m a h aa t^ th a j^ 
มหาประเทศ	m a h aa pr a th ee t^ 
มหายาน	m a h aa j aa n^ 
มหาราช	m a h aa r aa t^ 
มหาวิทยาลัย	m a h aa w i t^ th a j aa l a j^ 
มหาศาล	m a h aa s aa n^ 
มหาสมุทร	m a h aa s a m u t^ 
มหาอำนาจ	m a h aa z a m^ n aa t^ 
มอง	m @@ ng^ 
มองข้าม	m @@ ng^ kh aa m^ 
มองเห็น	m @@ ng^ h e n^ 
มองโกเลีย	m @ ng^ k oo l iia 
มอบ	m @@ p^ 
มอบหมาย	m @@ p^ m aa j^ 
มอร์แกน	m @@ k xx n^ 
มอเตอร์ไซค์	m @@ t qq s a j^ 
มะขาม	m a kh aa m^ 
มะเร็ง	m a r e ng^ 
มัก	m a k^ 
มักกะสัน	m a k^ k a s a n^ 
มักจะ	m a k^ c a 
มัจฉา	m a t^ ch aa 
มัธยม	m a t^ th a j o m^ 
มัน	m a n^ 
มันสมอง	m a n^ s a m @@ ng^ 
มันสำปะหลัง	m a n^ s a m^ p a l a ng^ 
มัว	m uua 
มัวหมอง	m uua m @@ ng^ 
มัวเมา	m uua m a w^ 
มั่งคั่ง	m a ng^ kh a ng^ 
มั่งมี	m a ng^ m ii 
มั่นคง	m a n^ kh o ng^ 
มั่นใจ	m a n^ c a j^ 
มั่วสุม	m uua s u m^ 
มา	m aa 
มาก	m aa k^ 
มากมาย	m aa k^ m aa j^ 
มาจาก	m aa c aa k^ 
มาตรการ	m aa t^ tr a k aa n^ 
มาตรฐาน	m aa t^ tr a th aa n^ 
มาตรา	m aa t^ tr aa 
มาตรา	m aa tr aa 
มานะ	m aa n a 
มานาน	m aa n aa n^ 
มานุษยวิทยา	m aa n u t^ s a j a w i t^ th a j aa 
มาบตาพุด	m aa p^ t aa ph u t^ 
มาฟิโอโส	m aa f i z oo s oo 
มายา	m aa j aa 
มารดา	m aa n^ d aa 
มารยาท	m aa r a j aa t^ 
มาร์กซ์	m aa k^ 
มาสโลว์	m aa s a l oo 
มาเฟีย	m aa f iia 
มาเลย์	m aa l ee 
มาเลเซีย	m aa l ee s iia 
มาแรนซาโน	m aa r xx n^ s aa n oo 
มิ	m i 
มิจฉาชีพ	m i t^ ch aa ch ii p^ 
มิฉะนั้น	m i ch a n a n^ 
มิตร	m i t^ 
มิติ	m i t i 
มิถุนายน	m i th u n aa j o n^ 
มิอาจ	m i z aa t^ 
มิเช่นนั้น	m i ch e n^ n a n^ 
มิใช่	m i ch a j^ 
มิได้	m i d aa j^ 
มี	m ii 
มีชัย	m ii ch a j^ 
มีนาคม	m ii n aa kh o m^ 
มีแต่	m ii t xx 
มึง	m v ng^ 
มืด	m vv t^ 
มือ	m vv 
มือดี	m vv d ii 
มุกดาหาร	m u k^ d aa h aa n^ 
มุม	m u m^ 
มุมานะ	m u m aa n a 
มุสลิม	m u t^ s a l i m^ 
มุ่ง	m u ng^ 
มุ่งมั่น	m u ng^ m a n^ 
มุ่งหน้า	m u ng^ n aa 
มุ่งหมาย	m u ng^ m aa j^ 
มุ่งหวัง	m u ng^ w a ng^ 
มุ่งเน้น	m u ng^ n e n^ 
มูล	m uu n^ 
มูลค่า	m uu n^ kh aa 
มูลฐาน	m uu n^ th aa n^ 
มูลเหตุ	m uu n^ h ee t^ 
มโหฬาร	m a h oo l aa n^ 
ม้า	m aa 
ยก	j o k^ 
ยกย่อง	j o k^ j @ ng^ 
ยกย่อง	j o k^ j @@ ng^ 
ยกเลิก	j o k^ l qq k^ 
ยกเว้น	j o k^ w e n^ 
ยงค์	j o ng^ 
ยงใจยุทธ	j o ng^ c a j^ j u t^ 
ยถากรรม	j a th aa k a m^ 
ยศ	j o t^ 
ยอก	j @@ k^ 
ยอด	j @@ t^ 
ยอดเยี่ยม	j @@ t^ j iia m^ 
ยอม	j @@ m^ 
ยอมรับ	j @@ m^ r a p^ 
ยัง	j a ng^ 
ยังคง	j a ng^ kh o ng^ 
ยังชีพ	j a ng^ ch ii p^ 
ยังเติร์ก	j a ng^ t qq k^ 
ยังไง	j a ng^ ng a j^ 
ยัดเยียด	j a t^ j iia t^ 
ยับยั้ง	j a p^ j a ng^ 
ยับเยิน	j a p^ j qq n^ 
ยั่งยืน	j a ng^ j vv n^ 
ยั่วยุ	j uua j u 
ยั้งคิด	j a ng^ kh i t^ 
ยา	j aa 
ยาก	j aa k^ 
ยากจน	j aa k^ c o n^ 
ยากลำบาก	j aa k^ l a m^ b aa k^ 
ยากเย็น	j aa k^ j e n^ 
ยากแค้น	j aa k^ kh xx n^ 
ยากไร้	j aa k^ r a j^ 
ยางพารา	j aa ng^ ph aa r aa 
ยาม	j aa m^ 
ยาย	j aa j^ 
ยาว	j aa w^ 
ยาวนาน	j aa w^ n aa n^ 
ยาวเหยียด	j aa w^ j iia t^ 
ยาเสพติด	j aa s ee p^ t i t^ 
ยำเกรง	j a m^ kr ee ng^ 
ยิง	j i ng^ 
ยิน	j i n^ 
ยินดี	j i n^ d ii 
ยินยอม	j i n^ j @@ m^ 
ยิว	j i w^ 
ยิ่ง	j i ng^ 
ยิ่งกว่า	j i ng^ kw aa 
ยิ่งกว่านั้น	j i ng^ kw aa n a n^ 
ยิ่งยวด	j i ng^ j uua t^ 
ยิ่งหย่อน	j i ng^ j @ n^ 
ยิ่งใหญ่	j i ng^ j a j^ 
ยี่	j ii 
ยี่สิบ	j ii s i p^ 
ยึด	j v t^ 
ยึดครอง	j v t^ khr @@ ng^ 
ยึดถือ	j v t^ th vv 
ยึดมั่น	j v t^ m a n^ 
ยึดเหนี่ยว	j v t^ n iia w^ 
ยืด	j vv t^ 
ยืดหยุ่น	j vv t^ j u n^ 
ยืดเยื้อ	j vv t^ j vva 
ยืน	j vv n^ 
ยืนกราน	j vv n^ kr aa n^ 
ยืนต้น	j vv n^ t o n^ 
ยืนยัน	j vv n^ j a n^ 
ยืนยาว	j vv n^ j aa w^ 
ยืม	j vv m^ 
ยื่น	j vv n^ 
ยุค	j u k^ 
ยุติ	j u t^ 
ยุติ	j u t^ t i 
ยุติ	j u t i 
ยุติธรรม	j u t^ t i th a m^ 
ยุทธการ	j u t^ th a k aa n^ 
ยุทธศาสตร์	j u t^ th a s aa t^ 
ยุบ	j u p^ 
ยุโรป	j u r oo p^ 
ยุ่ง	j u ng^ 
ยุ่งยาก	j u ng^ j aa k^ 
ยุ่งเกี่ยว	j u ng^ k iia w^ 
ยุ้ง	j u ng^ 
ยโสธร	j a s oo th @@ n^ 
ย่อ	j @@ 
ย่อท้อ	j @@ th @@ 
ย่อม	j @ m^ 
ย่อม	j @@ m^ 
ย่อย	j @ j^ 
ย่อย	j @@ j^ 
ย่า	j aa 
ย่าง	j aa ng^ 
ย่าน	j aa n^ 
ย่ำ	j a m^ 
ย้อน	j @@ n^ 
ย้าย	j aa j^ 
ย้ำ	j a m^ 
ร	r @@ 
รณรงค์	r o n^ n a r o ng^ 
รถ	r o t^ 
รถประจำทาง	r o t^ pr a c a m^ th aa ng^ 
รถยนต์	r o t^ j o n^ 
รถยนต์	r o t^ j o n^ 
รถเมล์	r o t^ m ee 
รบ	r o p^ 
รบกวน	r o p^ k uua n^ 
รวดเร็ว	r uua t^ r e w^ 
รวบยอด	r uua p^ j @@ t^ 
รวบรวม	r uua p^ r uua m^ 
รวบรัด	r uua p^ r a t^ 
รวม	r uua m^ 
รส	r o t^ 
รสช.	r @@ s @@ ch @@ 
รสชาติ	r o t^ ch aa t^ 
รสนิยม	r o t^ n i j o m^ 
รหัส	r a h a t^ 
รอ	r @@ 
รอง	r @@ ng^ 
รองรับ	r @@ ng^ r a p^ 
รองเท้า	r @@ ng^ th aa w^ 
รอด	r @@ t^ 
รอดพ้น	r @@ t^ ph o n^ 
รอบ	r @@ p^ 
รอบคอบ	r @@ p^ kh @@ p^ 
รอย	r @@ j^ 
ระงับ	r a ng a p^ 
ระดม	r a d o m^ 
ระดับ	r a d a p^ 
ระดู	r a d uu 
ระบบ	r a b o p^ 
ระบอบ	r a b @@ p^ 
ระบาด	r a b aa t^ 
ระบาย	r a b aa j^ 
ระบุ	r a b u 
ระมัดระวัง	r a m a t^ r a w a ng^ 
ระยอง	r a j @@ ng^ 
ระยะ	r a j a 
ระลึก	r a l v k^ 
ระวัง	r a w a ng^ 
ระหว่าง	r a w aa ng^ 
ระเบิด	r a b qq t^ 
ระเบียบ	r a b iia p^ 
รัก	r a k^ 
รักษา	r a k^ s aa 
รักใคร่	r a k^ khr a j^ 
รังสรรค์	r a ng^ s a n^ 
รังสี	r a ng^ s ii 
รังเกียจ	r a ng^ k iia t^ 
รัชกาล	r a t^ ch a k aa n^ 
รัชมังคลาภิเษก	r a t^ ch a m a ng^ khl aa ph i s ee k^ 
รัชสมัย	r a t^ ch a s a m a j^ 
รัฐ	r a t^ 
รัฐธรรมนูญ	r a t^ th a th a m^ m a n uu n^ 
รัฐบาล	r a t^ th a b aa n^ 
รัฐประหาร	r a t^ th a pr a h aa n^ 
รัฐมนตรี	r a t^ th a m o n^ tr ii 
รัฐมนตรีว่าการ	r a t^ th a m o n^ tr ii w aa k aa n^ 
รัฐวิสาหกิจ	r a t^ w i s aa h a k i t^ 
รัฐศาสตร์	r a t^ th a s aa t^ 
รัฐสภา	r a t^ th a s a ph aa 
รัฐสภา	r a t^ th a s a ph aa 
รัตนโกสินทร์	r a t^ t a n a k oo s i n^ 
รัตนโกเศศ	r a t^ t a n a k oo s ee t^ 
รับ	r a p^ 
รับช่วง	r a p^ ch uua ng^ 
รับประทาน	r a p^ pr a th aa n^ 
รับผิดชอบ	r a p^ ph i t^ ch @@ p^ 
รับฟัง	r a p^ f a ng^ 
รับรอง	r a p^ r @@ ng^ 
รับราชการ	r a p^ r aa t^ ch a k aa n^ 
รับรู้	r a p^ r uu 
รับหน้า	r a p^ n aa 
รับเหมา	r a p^ m a w^ 
รับใช้	r a p^ ch a j^ 
รัสเซีย	r a t^ s iia 
รา	r aa 
รากฐาน	r aa k^ th aa n^ 
รากเหง้า	r aa k^ ng a w^ 
ราคะ	r aa kh a 
ราคา	r aa kh aa 
รางวัล	r aa ng^ w a n^ 
ราชการ	r aa t^ ch a k aa n^ 
ราชครู	r aa t^ ch a khr uu 
ราชธน	r aa t^ ch a th o n^ 
ราชบัณฑิต	r aa t^ ch a b a n^ d i t^ 
ราชประเพณี	r aa t^ ch a pr a ph ee n ii 
ราชมงคล	r aa t^ ch a m o ng^ kh o n^ 
ราชสมบัติ	r aa t^ ch a s o m^ b a t^ 
ราชอาณาจักร	r aa t^ ch a z aa n aa c a k^ 
ราบ	r aa p^ 
ราบรื่น	r aa p^ r vv n^ 
รามคำแหง	r aa m^ kh a m^ h xx ng^ 
รามเกียรติ์	r aa m^ m a k iia n^ 
ราย	r aa j^ 
รายการ	r aa j^ k aa n^ 
รายงาน	r aa j^ ng aa n^ 
รายจ่าย	r aa j^ c aa j^ 
รายชื่อ	r aa j^ ch vv 
รายละเอียด	r aa j^ l a z iia t^ 
รายได้	r aa j^ d aa j^ 
ราว	r aa w^ 
ราศี	r aa s ii 
ราษฎร	r aa t^ s a d @@ n^ 
รำ	r a m^ 
รำคาญ	r a m^ kh aa n^ 
รำลึก	r a m^ l v k^ 
ริดรอน	r i t^ r @@ n^ 
ริดสีดวง	r i t^ s ii d uua ng^ 
ริม	r i m^ 
ริเริ่ม	r i r qq m^ 
รีด	r ii t^ 
รีบ	r ii p^ 
รีบด่วน	r ii p^ d uua n^ 
รีบร้อน	r ii p^ r @@ n^ 
รีบเร่ง	r ii p^ r e ng^ 
รีพับลิกัน	r ii ph a p^ l i k a n^ 
รื่นรมย์	r vv n^ r o m^ 
รื้อ	r vv 
รุก	r u k^ 
รุกราน	r u k^ r aa n^ 
รุดหน้า	r u t^ n aa 
รุนแรง	r u n^ r xx ng^ 
รุมเร้า	r u m^ r a w^ 
รุ่งขึ้น	r u ng^ kh v n^ 
รุ่งเรือง	r u ng^ r vva ng^ 
รุ่งโรจน์	r u ng^ r oo t^ 
รุ่น	r u n^ 
รูป	r uu p^ 
รูปการณ์	r uu p^ k aa n^ 
รูปธรรม	r uu p^ p a th a m^ 
รูปร่าง	r uu p^ r aa ng^ 
รูปลักษณ์	r uu p^ l a k^ 
รูปแบบ	r uu p^ b xx p^ 
รูเบิล	r uu b q n^ 
รู้	r uu 
รู้จัก	r uu c a k^ 
รู้ดี	r uu d ii 
รู้ตัว	r uu t uua 
รู้สึก	r uu s v k^ 
รู้เท่าไม่ถึงการณ์	r uu th a w^ m a j^ th v ng^ k aa n^ 
รู้เรื่อง	r uu r vva ng^ 
ร่มเย็น	r o m^ j e n^ 
ร่วม	r uua m^ 
ร่วมงาน	r uua m^ ng aa n^ 
ร่วมมือ	r uua m^ m vv 
ร่วมสมัย	r uua m^ s a m a j^ 
ร่องรอย	r @@ ng^ r @@ j^ 
ร่าง	r aa ng^ 
ร่างกาย	r aa ng^ k aa j^ 
ร่าเริง	r aa r qq ng^ 
ร่ำรวย	r a m^ r uua j^ 
ร่ำไป	r a m^ p a j^ 
ร้อง	r @@ ng^ 
ร้องขอ	r @@ ng^ kh @@ 
ร้องเพลง	r @@ ng^ phl ee ng^ 
ร้องเรียน	r @@ ng^ r iia n^ 
ร้องไห้	r @@ ng^ h aa j^ 
ร้อน	r @@ n^ 
ร้อย	r @@ j^ 
ร้อยตำรวจเอก	r @@ j^ t a m^ r uua t^ z ee k^ 
ร้อยละ	r @@ j^ l a 
ร้อยเอ็ด	r @@ j^ z e t^ 
ร้าน	r aa n^ 
ร้าย	r aa j^ 
ร้ายกาจ	r aa j^ k aa t^ 
ร้ายแรง	r aa j^ r xx ng^ 
ฤดู	r v d uu 
ฤทธิ์	r i t^ 
ล	l @@ 
ลง	l o ng^ 
ลงทุน	l o ng^ th u n^ 
ลงนาม	l o ng^ n aa m^ 
ลงมือ	l o ng^ m vv 
ลงรอย	l o ng^ r @@ j^ 
ลงเอย	l o ng^ z qq j^ 
ลงโทษ	l o ng^ th oo t^ 
ลด	l o t^ 
ลดทอน	l o t^ th @@ n^ 
ลบ	l o p^ 
ลม	l o m^ 
ลวดลาย	l uua t^ l aa j^ 
ลอกเลียน	l @@ k^ l iia n^ 
ลอง	l @@ ng^ 
ลอนดอน	l @ n^ d @ n^ 
ลอบ	l @@ p^ 
ลอย	l @@ j^ 
ลอยฟ้า	l @@ j^ f aa 
ละ	l a 
ละคร	l a kh @@ n^ 
ละทิ้ง	l a th i ng^ 
ละออง	l a z @@ ng^ 
ละอาย	l a z aa j^ 
ละเมิด	l a m qq t^ 
ละเลย	l a l qq j^ 
ละเล่น	l a l e n^ 
ละเอียด	l a z iia t^ 
ละเอียดลออ	l a z iia t^ l a z @@ 
ละเอียดอ่อน	l a z iia t^ z @@ n^ 
ละแวก	l a w xx k^ 
ลักกี้	l a k^ k ii 
ลักลอบ	l a k^ l @@ p^ 
ลักลั่น	l a k^ l a n^ 
ลักษณะ	l a k^ s a n a 
ลังกา	l a ng^ k aa 
ลังกาวี	l a ng^ k aa w ii 
ลังเล	l a ng^ l ee 
ลัทธิ	l a t^ th i 
ลับ	l a p^ 
ลั่น	l a n^ 
ลา	l aa 
ลาง	l aa ng^ 
ลาด	l aa t^ 
ลาดชัน	l aa t^ ch a n^ 
ลายมือ	l aa j^ m vv 
ลายสือ	l aa j^ s vv 
ลาว	l aa w^ 
ลาออก	l aa z @@ k^ 
ลำ	l a m^ 
ลำคอ	l a m^ kh @@ 
ลำดับ	l a m^ d a p^ 
ลำน้ำ	l a m^ n aa m^ 
ลำบาก	l a m^ b aa k^ 
ลำพัง	l a m^ ph a ng^ 
ลำพูน	l a m^ ph uu n^ 
ลำเลียง	l a m^ l iia ng^ 
ลำเอียง	l a m^ z iia ng^ 
ลิง	l i ng^ 
ลิไท	l i th a j^ 
ลิ้น	l i n^ 
ลีลา	l ii l aa 
ลี้ลับ	l ii l a p^ 
ลึก	l v k^ 
ลึกซึ้ง	l v k^ s v ng^ 
ลึกลับ	l v k^ l a p^ 
ลืม	l vv m^ 
ลือ	l vv 
ลุ	l u 
ลุก	l u k^ 
ลุกฮือ	l u k^ h vv 
ลุง	l u ng^ 
ลุงชาน	l u ng^ ch aa n^ 
ลุล่วง	l u l uua ng^ 
ลุ่มน้ำ	l u m^ n aa m^ 
ลุ่มลึก	l u m^ l v k^ 
ลูก	l uu k^ 
ลูกค้า	l uu k^ kh aa 
ลูกจ้าง	l uu k^ c aa ng^ 
ลูกตา	l uu k^ t aa 
ลูกน้อง	l uu k^ n @@ ng^ 
ลูกบาศก์	l uu k^ b aa t^ 
ลูกผสม	l uu k^ ph a s o m^ 
ลูกศิษย์	l uu k^ s i t^ 
ลูกสาว	l uu k^ s aa w^ 
ลูกหนี้	l uu k^ n ii 
ลูกเขย	l uu k^ kh qq j^ 
ลูกโซ่	l uu k^ s oo 
ลูบ	l uu p^ 
ลูเซียโน	l uu s iia n oo 
ลู่ทาง	l uu th aa ng^ 
ล่มจม	l o m^ c o m^ 
ล่วง	l uua ng^ 
ล่วงหน้า	l uua ng^ n aa 
ล่ะ	l a 
ล่าง	l aa ng^ 
ล่าช้า	l aa ch aa 
ล่าสุด	l aa s u t^ 
ล้นพ้น	l o n^ ph o n^ 
ล้ม	l o m^ 
ล้มล้าง	l o m^ l aa ng^ 
ล้มเหลว	l o m^ l ee w^ 
ล้วน	l uua n^ 
ล้วนแต่	l uua n^ t xx 
ล้วนแล้ว	l uua n^ l xx w^ 
ล้อม	l @@ m^ 
ล้อเลียน	l @@ l iia n^ 
ล้อเล่น	l @@ l e n^ 
ล้าง	l aa ng^ 
ล้าน	l aa n^ 
ล้านนา	l aa n^ n aa 
ล้าหลัง	l aa l a ng^ 
วง	w o ng^ 
วงการ	w o ng^ k aa n^ 
วงจร	w o ng^ c @@ n^ 
วงศ์วรรณ	w o ng^ w a n^ 
วงศ์วานิช	w o ng^ w aa n i t^ 
วงศ์ๆ	w o ng^ w o ng^ 
วงเงิน	w o ng^ ng q n^ 
วน	w o n^ 
วนเกษตร	w a n a k a s ee t^ 
วรรค	w a k^ 
วรรณกรรม	w a n^ n a k a m^ 
วรรณคดี	w a n^ n a kh a d ii 
วรรณศิลป์	w a n^ n a s i n^ 
วรรณะ	w a n^ n a 
วรศักดิ์	w @@ r a s a k^ 
วลี	w a l ii 
วสันต์	w a s a n^ 
วอชิงตัน	w @@ ch i ng^ t a n^ 
วอร์ซอ	w @@ s @@ 
วัคซีน	w a k^ s ii n^ 
วัง	w a ng^ 
วังกานนท์	w a ng^ k aa n o n^ 
วัชพืช	w a t^ ch a ph vv t^ 
วัฒนธรรม	w a t^ th a n a th a m^ 
วัด	w a t^ 
วัตถุ	w a t^ th u 
วัตถุดิบ	w a t^ th u d i p^ 
วัตถุธรรม	w a t^ th u th a m^ 
วัตถุนิยม	w a t^ th u n i j o m^ 
วัตถุประสงค์	w a t^ th u pr a s o ng^ 
วัน	w a n^ 
วันที่	w a n^ th ii 
วันนี้	w a n^ n ii 
วันหนึ่ง	w a n^ n v ng^ 
วันเกิด	w a n^ k qq t^ 
วัย	w a j^ 
วัยรุ่น	w a j^ r u n^ 
วัลลีย์	w a n^ l ii 
วัสดุ	w a t^ s a d u 
วาง	w aa ng^ 
วางแผน	w aa ng^ ph xx n^ 
วาจา	w aa c aa 
วาด	w aa t^ 
วาทศิลป์	w aa th a s i n^ 
วายร้าย	w aa j^ r aa j^ 
วารสาร	w aa r a s aa n^ 
วาระ	w aa r a 
วาสนา	w aa t^ s a n aa 
วิกฤตการณ์	w i kr i t^ t a k aa n^ 
วิกฤติ	w i kr i t^ 
วิกฤติการณ์	w i kr i t^ t a k aa n^ 
วิกลจริต	w i k o n^ c a r i t^ 
วิงเวียน	w i ng^ w iia n^ 
วิจัย	w i c a j^ 
วิจารณญาณ	w i c aa r a n a j aa n^ 
วิจารณ์	w i c aa n^ 
วิจิตร	w i c i t^ 
วิชา	w i ch aa 
วิชาการ	w i ch aa k aa n^ 
วิชาชีพ	w i ch aa ch ii p^ 
วิญญาณ	w i n^ j aa n^ 
วิตก	w i t o k^ 
วิตกกังวล	w i t o k^ k a ng^ w o n^ 
วิตามิน	w i t aa m i n^ 
วิถี	w i th ii 
วิถีชีวิต	w i th ii ch ii w i t^ 
วิถีทาง	w i th ii th aa ng^ 
วิทยา	w i t^ th a j aa 
วิทยาการ	w i t^ th a j aa k aa n^ 
วิทยาลัย	w i t^ th a j aa l a j^ 
วิทยาศาสตร์	w i t^ th a j aa s aa t^ 
วิทยาเขต	w i t^ th a j aa kh ee t^ 
วิทยุ	w i t^ th a j u 
วิธี	w i th ii 
วิธีการ	w i th ii k aa n^ 
วินัย	w i n a j^ 
วินาศกรรม	w i n aa t^ s a k a m^ 
วินิจฉัย	w i n i t^ ch a j^ 
วิพากษ์	w i ph aa k^ 
วิมล	w i m o n^ 
วิมัตินิยม	w i m a t^ n i j o m^ 
วิริยะ	w i r i j a 
วิวัฒนาการ	w i w a t^ th a n aa k aa n^ 
วิศว	w i t^ s a w a 
วิศวกร	w i t^ s a w a k @@ n^ 
วิศวกรรม	w i t^ s a w a k a m^ 
วิศวกรรมศาสตร์	w i t^ s a w a k a m^ m a s aa t^ 
วิสัทลักษณ์	w i s a t^ th a l a k^ 
วิสัย	w i s a j^ 
วิสามัญ	w i s aa m a n^ 
วิอาญา	w i z aa j aa 
วิเคราะห์	w i khr @ 
วิเชษฐ	w i ch ee t^ 
วิเทศธนกิจ	w i th ee t^ th a n a k i t^ 
วิเศษ	w i s ee t^ 
วิเศษณ์	w i s ee t^ 
วิโรจน์	w i r oo t^ 
วิ่ง	w i ng^ 
วิ่งเต้น	w i ng^ t e n^ 
วีรบุรุษ	w ii r a b u r u t^ 
วีระ	w ii r a 
วุฒิปรีชา	w u t^ th i pr ii ch aa 
วุฒิสภา	w u t^ th i s a ph aa 
วุ่นวาย	w u n^ w aa j^ 
วูบ	w uu p^ 
ว่า	w aa 
ว่าการ	w aa k aa n^ 
ว่าง	w aa ng^ 
ว่างงาน	w aa ng^ ng aa n^ 
ว่างเปล่า	w aa ng^ pl aa w^ 
ว่าจ้าง	w aa c aa ng^ 
ว้าวุ่น	w aa w u n^ 
ว้าเหว่	w aa w ee 
ศก	s o k^ 
ศตวรรษ	s a t a w a t^ 
ศพ	s o p^ 
ศรัทธา	s a t^ th aa 
ศรี	s ii 
ศรีปราชญ์	s ii pr aa t^ 
ศรีเมือง	s ii m vva ng^ 
ศักดินา	s a k^ d i n aa 
ศักดิ์	s a k^ 
ศักดิ์ศรี	s a k^ s ii 
ศักดิ์สิทธิ์	s a k^ s i t^ 
ศักยภาพ	s a k^ k a j a ph aa p^ 
ศักราช	s a k^ k a r aa t^ 
ศัตรู	s a t^ tr uu 
ศัพท์	s a p^ 
ศาล	s aa n^ 
ศาสดา	s aa t^ s a d aa 
ศาสตร์	s aa t^ 
ศาสนจักร	s aa t^ s a n a c a k^ 
ศาสนสถาน	s aa t^ s a n a s a th aa n^ 
ศาสนา	s aa t^ s a n aa 
ศิรินวกุล	s i r i n a w a k u n^ 
ศิลปกรรม	s i n^ l a p a k a m^ 
ศิลปวัฒนธรรม	s i n^ l a p a w a t^ th a n a th a m^ 
ศิลปวัตถุ	s i n^ l a p a w a t^ th u 
ศิลปวิทยา	s i n^ l a p a w i t^ th a j aa 
ศิลปหัตถกรรม	s i n^ l a p a h a t^ th a k a m^ 
ศิลปะ	s i n^ l a p a 
ศิลปากร	s i n^ l a p aa k @@ n^ 
ศิลปิน	s i n^ l a p i n^ 
ศิลป์	s i n^ 
ศิลาจารึก	s i l aa c aa r v k^ 
ศิลาอ่อน	s i l aa z @@ n^ 
ศิวลึงค์	s i w a l v ng^ 
ศิษย์	s i t^ 
ศีรษะ	s ii s a 
ศีล	s ii n^ 
ศีลธรรม	s ii n^ l a th a m^ 
ศึก	s v k^ 
ศึกษา	s v k^ s aa 
ศึกษาธิการ	s v k^ s aa th i k aa n^ 
ศุกร์	s u k^ 
ศูนย์	s uu n^ 
ศูนย์กลาง	s uu n^ kl aa ng^ 
ส.ส.	s @@ s @@ 
สกปรก	s o k^ k a pr o k^ 
สกัด	s a k a t^ 
สกุล	s a k u n^ 
สงขลา	s o ng^ khl aa 
สงคราม	s o ng^ khr aa m^ 
สงครามโลก	s o ng^ khr aa m^ l oo k^ 
สงฆ์	s o ng^ 
สงบ	s a ng o p^ 
สงบสุข	s a ng o p^ s u k^ 
สงสัย	s o ng^ s a j^ 
สงสาร	s o ng^ s aa n^ 
สงเคราะห์	s o ng^ khr @ 
สง่า	s a ng aa 
สด	s o t^ 
สดชื่น	s o t^ ch vv n^ 
สตรี	s a t^ tr ii 
สตัฟฟ์	s a t a p^ 
สติ	s a t i 
สติปัญญา	s a t i p a n^ j aa 
สถาน	s a th aa n^ 
สถานการณ์	s a th aa n a k aa n^ 
สถานที่	s a th aa n^ th ii 
สถานภาพ	s a th aa n a ph aa p^ 
สถานะ	s a th aa n a 
สถานี	s a th aa n ii 
สถาบัน	s a th aa b a n^ 
สถาปนา	s a th aa p a n aa 
สถาปัตยกรรม	s a th aa p a t^ t a j a k a m^ 
สถิติ	s a th i t i 
สถูป	s a th uu p^ 
สนทนา	s o n^ th a n aa 
สนอง	s a n @@ ng^ 
